DATE,ANNA426MFG
1990-01-01,36.1107720878121
1990-02-01,39.578274806553104
1990-03-01,39.176393420416396
1990-04-01,39.313214748954294
1990-05-01,39.5552244005199
1990-06-01,39.4541532758231
1990-07-01,37.8406515831046
1990-08-01,38.4745581182849
1990-09-01,39.337781373685104
1990-10-01,35.141694373720895
1990-11-01,35.100096424247305
1990-12-01,37.9239852530196
1991-01-01,36.65679276297671
1991-02-01,36.8243292327587
1991-03-01,36.7175503266379
1991-04-01,34.1165342571529
1991-05-01,36.366171000910605
1991-06-01,36.577249762601795
1991-07-01,35.78495926405
1991-08-01,36.2715502178281
1991-09-01,36.72727672303839
1991-10-01,37.2761010354069
1991-11-01,36.5563719847879
1991-12-01,35.7014660920973
1992-01-01,35.4454406412906
1992-02-01,35.1846386002402
1992-03-01,35.6531847323321
1992-04-01,35.44752401745011
1992-05-01,34.8874831897496
1992-06-01,34.3244210268994
1992-07-01,34.2646664960491
1992-08-01,33.232183883682104
1992-09-01,33.8775920878369
1992-10-01,34.1311949269463
1992-11-01,33.8110093696234
1992-12-01,33.8915170063861
1993-01-01,34.0303170465591
1993-02-01,34.1716577813206
1993-03-01,32.988218645849
1993-04-01,32.1409276665765
1993-05-01,32.0147763955974
1993-06-01,32.002754916655896
1993-07-01,30.6253427530938
1993-08-01,30.669761215449
1993-09-01,30.1315609017236
1993-10-01,29.997740786479604
1993-11-01,29.9123010837784
1993-12-01,30.0124484600043
1994-01-01,30.2452684437357
1994-02-01,30.722936589181298
1994-03-01,30.604206539166398
1994-04-01,31.3071625472901
1994-05-01,31.3529471925234
1994-06-01,31.5431902189463
1994-07-01,32.0130887088685
1994-08-01,32.709612876832104
1994-09-01,32.026138088138396
1994-10-01,31.7120103920337
1994-11-01,31.5608989832538
1994-12-01,31.829057885001504
1995-01-01,32.091016463156
1995-02-01,31.7021976093011
1995-03-01,31.642355684151696
1995-04-01,31.5549237604745
1995-05-01,31.5879355890115
1995-06-01,31.2841290423416
1995-07-01,31.6787220311858
1995-08-01,31.2279579624327
1995-09-01,30.9657637731059
1995-10-01,31.330048884705
1995-11-01,31.5312706667988
1995-12-01,31.0772404318017
1996-01-01,29.9064200073833
1996-02-01,30.5536714563859
1996-03-01,30.7253391706186
1996-04-01,30.9269003572567
1996-05-01,30.734130795038098
1996-06-01,30.820398224849896
1996-07-01,30.9022532936555
1996-08-01,31.3333183838421
1996-09-01,30.9497566117561
1996-10-01,30.911400114493
1996-11-01,30.841216193179196
1996-12-01,30.7088779975029
1997-01-01,30.471272750387
1997-02-01,30.7201927195862
1997-03-01,30.803758270234
1997-04-01,30.1559602955983
1997-05-01,30.4728409224261
1997-06-01,30.6352069118611
1997-07-01,30.8349734418779
1997-08-01,30.684819061805896
1997-09-01,30.8207939341195
1997-10-01,30.6519210090593
1997-11-01,30.917730607561197
1997-12-01,30.699028337241696
1998-01-01,31.647324964942797
1998-02-01,31.6725975975611
1998-03-01,31.6670376111624
1998-04-01,32.3641531987321
1998-05-01,32.3076910406477
1998-06-01,32.2152033405963
1998-07-01,31.559289359608304
1998-08-01,32.1810531824931
1998-09-01,32.273952942049696
1998-10-01,32.479351035815704
1998-11-01,32.421744692996
1998-12-01,32.345125309806
1999-01-01,33.030596313959606
1999-02-01,33.040075447917296
1999-03-01,33.1773125923389
1999-04-01,32.7139111807523
1999-05-01,32.490442512185304
1999-06-01,32.3903997427011
1999-07-01,32.7457251604314
1999-08-01,32.5390230552367
1999-09-01,32.4510538197575
1999-10-01,31.955245604927
1999-11-01,31.595860629869104
1999-12-01,31.6362594130495
2000-01-01,31.0795328795162
2000-02-01,31.4321036019916
2000-03-01,31.051575545322297
2000-04-01,31.146494404525498
2000-05-01,31.0424264196424
2000-06-01,31.2845071362986
2000-07-01,30.8178146865714
2000-08-01,30.753143360339898
2000-09-01,29.5666607668229
2000-10-01,30.310628398728298
2000-11-01,30.035225649331103
2000-12-01,30.0609891866894
2001-01-01,29.5087547181676
2001-02-01,29.1446660719382
2001-03-01,28.9409100677567
2001-04-01,28.822349332803697
2001-05-01,28.6685631280206
2001-06-01,28.471074713194298
2001-07-01,27.9988233009707
2001-08-01,28.3932811474485
2001-09-01,28.2046546265059
2001-10-01,27.847606870430603
2001-11-01,28.091249427119397
2001-12-01,28.2308457520781
2002-01-01,26.9021780452365
2002-02-01,27.048023477156
2002-03-01,26.8932310914885
2002-04-01,26.6825581474092
2002-05-01,26.694196829193302
2002-06-01,26.4747367289213
2002-07-01,26.7157429023687
2002-08-01,26.4322262060996
2002-09-01,26.0382606475352
2002-10-01,26.713734533419398
2002-11-01,26.5563381069211
2002-12-01,26.316055494273897
2003-01-01,26.154807036729302
2003-02-01,26.0356770947575
2003-03-01,25.9786698033979
2003-04-01,25.506827719724303
2003-05-01,25.4492737427313
2003-06-01,25.2844747013604
2003-07-01,21.549649789056602
2003-08-01,24.5595310208511
2003-09-01,24.352661325043897
2003-10-01,24.1868219071636
2003-11-01,24.0619184472603
2003-12-01,24.1074428455561
2004-01-01,24.089849839095603
2004-02-01,24.009157226598102
2004-03-01,23.9507633924394
2004-04-01,24.528544470153605
2004-05-01,23.950171323218303
2004-06-01,23.806019344293
2004-07-01,20.877129377120603
2004-08-01,23.4565934473074
2004-09-01,23.3366803976836
2004-10-01,23.289898852409202
2004-11-01,22.9614881957315
2004-12-01,22.744940924145396
2005-01-01,22.4217941633783
2005-02-01,22.8706484072965
2005-03-01,22.967397258627898
2005-04-01,22.7417977044907
2005-05-01,22.884994396082696
2005-06-01,22.4319486417828
